Rank,Variable,Mean absolute SHAP,HSLS variable description,Feature dimension
47,X2S2SSPR12,0.028843317012628763,Distinguishes science from computer science/tech class(es) by evaluating responses across the series of D23 items.,Demographic/SES controls
48,S2HIGHGRADES,0.028723103847675468,Which of the following are reasons you [do not/did not] spend more time studying? Your grades [are/were] already high. 1=Yes 0=No Administered To: Respondents who thought they could earn better grades by spending more time studying.,Academic performance/preparation
49,S2CANTAFFORD,0.028591525292828525,"How much do you agree or disagree with the following statements? Even if you get accepted to college, your family cannot afford to send you. 1=Strongly agree 2=Agree 3=Disagree 4=Strongly disagree",Demographic/SES controls
50,X3THIOTHSCI,0.028443342253720087,"Highest Other Science course, which is the first two digits of the course SCED code: 03.",Academic performance/preparation
51,X2TXMSCR,0.028353117570265204,The math IRT-estimated number correct is a criterion-referenced measure at the time of the First Follow-up assessment. The criterion is the set of skills defined by both the HSLS:09 Base Year and First Follow-up framework and represented by the 118 items used to score HSLS:09 First Follow-up math assessment. The estimated number correct for math is an estimate of the number of items students would have answered correctly had they responded to all 118 items in the item pool. The ability estimates (Thetas) from the First Follow-up and item parameters derived from the IRT calibration were used to calculate each student's probability of a correct answer for each of the items in the pool. These probabilities are summed to produce the IRT-estimated number-correct scale score. See Chapter 2 of the HSLS:09 F1 Data File Documentation (NCES 2014-361) for more information on the derivation of the math estimate number correct. Mean Std Deviation Category Min Max Unweighted Unweighted ------------------- ------------------- ------------------- ------------------- ------------------- Continuous -8.0000 115.1000 57.9116 30.6156,Academic performance/preparation
52,S2SSTOPTRYING,0.02784555824000184,"How often [do/did] you do these things in [science course title]? When an assignment [is/was] very difficult, you [stop/stopped] trying. 1=Never 2=Less than half of the time 3=Half of the time 4=More than half of the time 5=Always",Behavioral/psychological factors
53,S1MUNDERST,0.027735392478929644,"When you are working on a math assignment, how often do you think you really understand the assignment? Never Rarely Sometimes Often",Academic performance/preparation
54,S2SBORING,0.027719864950262685,How much do you agree or disagree with the following statements about [science course title/science]? [You [think/thought] this class [is/was] boring./You think science classes are boring.] 1=Strongly agree 2=Agree 3=Disagree 4=Strongly disagree,Academic performance/preparation
55,S1ACT,0.027200262052419835,Have you taken or are you planning to take... American College Testing Service (ACT) test? No Yes You haven't decided yet You don't know what this is,Academic performance/preparation
56,X2MTHUTI,0.027054998276636554,"This variable is a scale of the sample member's perception of the utility of mathematics; higher values represent perceptions of greater mathematics utility. Variable was created through principal components factor analysis (weighted by W2STUDENT) and standardized to a mean of 0 and standard deviation of 1. The inputs to this scale were S2MUSELIFE, S2MUSECLG, and S2MUSEJOB. Only respondents who provided a full set of responses were assigned a scale value. The coefficient of reliability (alpha) for the scale is .65 or higher. For more information on this scale score, please see chapter 5 of the F1 Data File Documentation (NCES 2014-361). Mean Std Deviation Category Min Max Unweighted Unweighted ------------------- ------------------- ------------------- ------------------- ------------------- Continuous -9.00 1.21 -1.23 3.07",Career interests and aspirations
