Rank,Variable,Mean absolute SHAP,HSLS variable description,Feature dimension
196,S2FAMILY2013,0.011881504650504582,The next series of questions are about what you are most likely to be doing in the fall of 2013. Which of the following activities do you expect to be doing at that time? Starting a family or taking care of your children 1=Yes 2=No 3=Don't Know,Demographic/SES controls
197,X1TXMTH1,0.011869176442380754,"Mathematics theta score multiple imputation value (1 of 5). When the math test data were missing for student survey respondents, the math theta score was imputed with multiple imputation technique, with 5 imputed values. X1TXMTH is the mean of X1TXMTH1-5. The theta score provides a norm-referenced measurement of achievement, that is, an estimate of achievement relative to the population (fall 2009 9th graders) as a whole. It provides information on status compared to peers (as distinguished from the IRT-estimated scale score which represents status with respect to achievement on a particular criterion set of test items). The associated theta score is X1TXMTH. The standardized form of the theta score is X1TXMTSCOR. Mean Std Deviation Category Min Max Unweighted Unweighted ------------------- ------------------- ------------------- ------------------- ------------------- Continuous -8.0000 3.1250 -0.6693 2.4570",Academic performance/preparation
198,P1INCOMECAT,0.011814716008679343,"We understand that you may not be able to provide an exact number for your family's income. However, it would be extremely helpful if you would indicate which of the following ranges best estimates your total household income from all sources prior to taxes and deductions in calendar year 2008. Please include all income such as income from work, investments and alimony. $15,000 or less $15,001 - $35,000 $35,001 - $55,000 $55,001 - $75,000 $75,001 - $95,000 $95,001 - $115,000 $115,001 - $135,000 $135,001 - $155,000 $155,001 - $175,000 $175,001 - $195,000 $195,001 - $215,000 $215,001 - $235,000 More than $235,000",Demographic/SES controls
199,X2TXMTH3,0.011641194308112284,"Mathematics theta score multiple imputation value (3 of 5). When the math test data were missing for student survey respondents, the math theta score was imputed with multiple imputation technique, with 5 imputed values. X2TXMTH is the mean of X2TXMTH1-5. The theta score provides a norm-referenced measurement of achievement, that is, an estimate of achievement relative to the population (fall 2009 9th graders) as a whole. It provides information on status compared to peers (as distinguished from the IRT-estimated scale score which represents status with respect to achievement on a particular criterion set of test items). The associated theta score is X2TXMTH. The standardized form of the theta score is X2TXMTSCOR. Mean Std Deviation Category Min Max Unweighted Unweighted ------------------- ------------------- ------------------- ------------------- ------------------- Continuous -8.0000 4.5046 -0.3644 3.0731",Academic performance/preparation
200,S1SASSEXCL,0.011555259234861288,How much do you agree or disagree with the following statements about your [fall 2009 science] course? You are confident that you can do an excellent job on assignments in this course Strongly agree Agree Disagree Strongly disagree,Academic performance/preparation
201,S2STEXTBOOK,0.011544587696250075,How much do you agree or disagree with the following statements about [science course title/science]? [You [are/were] certain that you [can/could] understand the most difficult material presented in the textbook used in this course./ You are certain that you can understand the most difficult material presented in science textbooks.] 1=Strongly agree 2=Agree 3=Disagree 4=Strongly disagree,Academic performance/preparation
202,S2SATTENTION,0.011491621124176421,How often [do/did] you do these things in [science course title]? You [pay/paid] attention to the teacher. 1=Never 2=Less than half of the time 3=Half of the time 4=More than half of the time 5=Always,Behavioral/psychological factors
203,S2STESTS,0.011462440600949949,How much do you agree or disagree with the following statements about [science course title/science]? [You [are/were] confident that you [can/could] do an excellent job on tests in this course. /You are confident that you can do an excellent job on science tests.] 1=Strongly agree 2=Agree 3=Disagree 4=Strongly disagree,Academic performance/preparation
204,X2TXMQUINT,0.01139650835363164,"The math quintile score is a norm-referenced measure of achievement. The quintile score divides the weighted (population estimate) achievement distributions into five equal groups, based on math score (X2TXMTSCOR). Quintile 1 corresponds to the lowest-achieving one-fifth of the population, quintile 5 the highest. To determine the quintile cut-points, the weighted distribution of the standardized scores was divided at the 20th, 40th, 60th, and 80th percentiles. See Chapter 2 of the HSLS:09 F1 Data File Documentation (NCES 2014-361) for more information on the derivation of the math quintile score.",Academic performance/preparation
205,X2MTHEFF,0.011306901982196435,"This variable is a scale of the sample member's math self-efficacy; higher X2MTHEFF values represent higher math self-efficacy. Variable was created through principal components factor analysis (weighted by W2STUDENT) and standardized to a mean of 0 and standard deviation of 1. The inputs to this scale were S2MTESTS, S2MTEXTBOOK, S2MSKILLS, and S2MASSEXCL. Only respondents who provided a full set of responses were assigned a scale value. The coefficient of reliability (alpha) for the scale is .65 or higher. For more information on this scale score, please see chapter 5 of the F1 Data File Documentation (NCES 2014-361). Mean Std Deviation Category Min Max Unweighted Unweighted ------------------- ------------------- ------------------- ------------------- ------------------- Continuous -9.00 1.73 -1.27 3.16",Skills and self-efficacy
206,S1SREASCLG,0.011289437035157822,"What are the reasons you plan to take more science courses during high school? (Check all that apply.) Taking more science courses is required to graduate Your parents will want you to Your teachers will want you to Your school counselor will want you to You are good at science You will need a lot of science courses for the type of career you want Most students who are like you take a lot of science courses You enjoy studying science Taking more science courses will be useful for getting into college Taking more science courses will be useful in college Your friends are going to take more science courses Some other reason You don't know why, you just probably will",Career interests and aspirations
207,S2HISCIENCE12,0.011000270042988446,"Of the science courses you [are currently taking/were taking during the spring term of 2012], which [is/was] the most challenging? 1=Life science 2=Biology I 3=Biology II 4=Advanced Placement (AP) Biology 5=International Baccalaureate (IB) Biology 6=Anatomy or Physiology 7=Other biological sciences such as botany, marine biology, or zoology 8=Chemistry I 9=Chemistry II 10=Advanced Placement (AP) Chemistry 11=International Baccalaureate (IB) Chemistry 12=Earth Science 13=Advanced Placement (AP) Environmental Science 14=International Baccalaureate (IB) Environmental Systems and Societies 15=Other earth or environmental sciences such as ecology, geology, oceanography or meteorology 16=Physics I 17=Physics II 18=Advanced Placement (AP) Physics B or C 19=International Baccalaureate (IB) Physics 20=Physical Science 21=Principles of Technology 22=Other physical sciences such as astronomy or electronics 23=Integrated Science I 24=Integrated Science II and above 25=General Science 32=If S2SCRSE32SP is nonmissing fill [S2SCRSE32SP] else fill ""Other science, technology, engineering, or computer science course""",Academic performance/preparation
208,S1BAAGE30,0.010986481777544911,Would you be disappointed if you did not graduate from college with a Bachelor's degree by the time you are 30 years old? Yes No,Academic performance/preparation
209,S1NOTALKS,0.010893851740715986,"Since the beginning of the last school year (2008-2009), which of the following people have you talked with about which science courses to take this year? (Check all that apply.) Your mother or female guardian Your father or male guardian Your friends A favorite teacher A school counselor None of these people",Academic performance/preparation
210,X1TXMTH3,0.01074441920946716,"Mathematics theta score multiple imputation value (3 of 5). When the math test data were missing for student survey respondents, the math theta score was imputed with multiple imputation technique, with 5 imputed values. X1TXMTH is the mean of X1TXMTH1-5. The theta score provides a norm-referenced measurement of achievement, that is, an estimate of achievement relative to the population (fall 2009 9th graders) as a whole. It provides information on status compared to peers (as distinguished from the IRT-estimated scale score which represents status with respect to achievement on a particular criterion set of test items). The associated theta score is X1TXMTH. The standardized form of the theta score is X1TXMTSCOR. Mean Std Deviation Category Min Max Unweighted Unweighted ------------------- ------------------- ------------------- ------------------- ------------------- Continuous -8.0000 3.0283 -0.6698 2.4569",Academic performance/preparation
211,S1DADTALKJOB,0.010700587457432032,"Since the beginning of the last school year (2008-2009), which of the following people have you talked with about possible jobs or careers when you are an adult? (Check all that apply.) Your mother or female guardian Your father or male guardian Your friends A favorite teacher A school counselor None of these people",Career interests and aspirations
212,X1TXMTH5,0.01059404336403747,"Mathematics theta score multiple imputation value (5 of 5). When the math test data were missing for student survey respondents, the math theta score was imputed with multiple imputation technique, with 5 imputed values. X1TXMTH is the mean of X1TXMTH1-5. The theta score provides a norm-referenced measurement of achievement, that is, an estimate of achievement relative to the population (fall 2009 9th graders) as a whole. It provides information on status compared to peers (as distinguished from the IRT-estimated scale score which represents status with respect to achievement on a particular criterion set of test items). The associated theta score is X1TXMTH. The standardized form of the theta score is X1TXMTSCOR. Mean Std Deviation Category Min Max Unweighted Unweighted ------------------- ------------------- ------------------- ------------------- ------------------- Continuous -8.0000 3.0974 -0.6696 2.4569",Academic performance/preparation
213,S2STCHTREAT,0.010509238400340208,"How much do you agree or disagree with the following statements about your teacher for [science course title]? Remember, none of your teachers or your principal will see any of the answers you provide. Your teacher... [treats/treated] some kids better than other kids. 1=Strongly agree 2=Agree 3=Disagree 4=Strongly disagree",Academic performance/preparation
214,S2MTCHRREC,0.010376260866073014,Why [are/were] you taking [math course title] ? Would you say you [are/were] taking it because... a teacher encouraged you to take it? 1=Yes 0=No,Academic performance/preparation
215,S2STCHGIVEUP,0.010331794534902107,"How much do you agree or disagree with the following statements about your teacher for [science course title]? Remember, none of your teachers or your principal will see any of the answers you provide. Your teacher... [doesn't/didn't] let people give up when the work [gets/got] hard. 1=Strongly agree 2=Agree 3=Disagree 4=Strongly disagree",Academic performance/preparation
216,X3CLASSES,0.010326005641274975,Imputed version of S3CLASSES. X3CLASSES_IM values of 1 indicate when X3CLASSES is imputed.,Demographic/SES controls
217,X2SCIINT,0.010282741196484648,"This variable is a scale of the sample member's interest in their base-year science course; higher values represent greater interest in their base-year science course. Variable was created through principal components factor analysis (weighted by W2STUDENT) and standardized to a mean of 0 and standard deviation of 1. The inputs to this scale were S2SENJOYING, S2SWASTE, S2SBORING, S2FAVSUBJ, and S2SENJOYS. Only respondents who provided a full set of responses were assigned a scale value. The coefficient of reliability (alpha) for the scale is .65 or higher. For more information on this scale score, please see chapter 5 of the F1 Data File Documentation (NCES 2014-361). Mean Std Deviation Category Min Max Unweighted Unweighted ------------------- ------------------- ------------------- ------------------- ------------------- Continuous -9.00 1.71 -2.66 3.76",Academic performance/preparation
218,X2TXMTH2,0.010271807794891345,"Mathematics theta score multiple imputation value (2 of 5). When the math test data were missing for student survey respondents, the math theta score was imputed with multiple imputation technique, with 5 imputed values. X2TXMTH is the mean of X2TXMTH1-5. The theta score provides a norm-referenced measurement of achievement, that is, an estimate of achievement relative to the population (fall 2009 9th graders) as a whole. It provides information on status compared to peers (as distinguished from the IRT-estimated scale score which represents status with respect to achievement on a particular criterion set of test items). The associated theta score is X2TXMTH. The standardized form of the theta score is X2TXMTSCOR. Mean Std Deviation Category Min Max Unweighted Unweighted ------------------- ------------------- ------------------- ------------------- ------------------- Continuous -8.0000 4.7769 -0.3612 3.0735",Academic performance/preparation
219,X3T1CREDGEO,0.010131036012946614,"Indicates at least one Carnegie unit in Geometry, which is the course SCED code(s): 02071, 02072, 02073, 02074, 02075, 02079, 02135. A Carnegie unit is equivalent to a one-year academic course taken one period a day, five days a week.",Academic performance/preparation
220,S1SREASENJOY,0.009965650900337526,"What are the reasons you plan to take more science courses during high school? (Check all that apply.) Taking more science courses is required to graduate Your parents will want you to Your teachers will want you to Your school counselor will want you to You are good at science You will need a lot of science courses for the type of career you want Most students who are like you take a lot of science courses You enjoy studying science Taking more science courses will be useful for getting into college Taking more science courses will be useful in college Your friends are going to take more science courses Some other reason You don't know why, you just probably will",Career interests and aspirations
221,X1TXMQUINT,0.009895035273569601,"The math quintile score is a norm-referenced measure of achievement. The quintile score divides the weighted (population estimate) achievement distributions into five equal groups, based on math score (X1TXMTSCOR). Quintile 1 corresponds to the lowest-achieving one-fifth of the population, quintile 5 the highest. To determine the quintile cut-points, the weighted distribution of the standardized scores was divided at the 20th, 40th, 60th, and 80th percentiles. Cut points were matched to unrounded standardized scores. See Chapter 2 of the HSLS:09 Base-Year Data File Documentation (NCES 2011-328) for more information on the derivation of the math quintile score.",Academic performance/preparation
222,S1SREASPAR,0.009854694590652803,"What are the reasons you plan to take more science courses during high school? (Check all that apply.) Taking more science courses is required to graduate Your parents will want you to Your teachers will want you to Your school counselor will want you to You are good at science You will need a lot of science courses for the type of career you want Most students who are like you take a lot of science courses You enjoy studying science Taking more science courses will be useful for getting into college Taking more science courses will be useful in college Your friends are going to take more science courses Some other reason You don't know why, you just probably will",Career interests and aspirations
223,S1FYNOTSURE,0.00984331589693777,What do you plan to do during your first year after high school? (Check all that apply.) Enroll in an Associate's degree program in a two-year community college or technical institute Enroll in a Bachelor's degree program in a college or university Obtain a license or certificate in a career field Attend a registered apprenticeship program Join the armed services Get a job Start a family Travel Do volunteer or missionary work Not sure what you want to do,Career interests and aspirations
224,S2STCHRREC,0.009618745356572757,Why [are/were] you taking [science course title] ? Would you say you [are/were] taking it because... a teacher encouraged you to take it? 1=Yes 0=No,Academic performance/preparation
225,X1PAR1RACE,0.009417248727915951,"Characterizes the race/ethnicity of ""parent #1"", as reported by the parent questionnaire respondent; ""parent #1"" is the parent to whom all ""parent #1"" variables (e.g. X1P1RELATION, X1PAR1EMP, P1YRBORN1, P1USYR1, etc.) refer. X1PAR1RACE summarizes the following 6 dichotomous race/ethnicity variables drawn from the parent questionnaire: P1HISP1, P1WHITE1, P1BLACK1, P1ASIAN1, P1PACISLE1, and P1AMINDIAN1. ""Amer. Indian/Alaska Native, non-Hispanic"" and ""Native Hawaiian/Pacific Islander, non-Hispanic"" recoded as ""Other, non-Hispanic"" on the public use file.",Demographic/SES controls
226,X1PAR2RACE,0.009398123910094468,"Characterizes the race/ethnicity of ""parent #2"", as reported by the parent questionnaire respondent; ""parent #2"" is the parent to whom all ""parent #2"" variables (e.g., X1P2RELATION, X1PAR2EMP, P1YRBORN2, P1USYR2, etc.) refer. X1PAR2RACE summarizes the following 6 dichotomous race/ethnicity variables drawn from the parent questionnaire: P1HISP2, P1WHITE2, P1BLACK2, P1ASIAN2, P1PACISLE2, and P1AMINDIAN2. ""Amer. Indian/Alaska Native, non-Hispanic"" and ""Native Hawaiian/Pacific Islander, non-Hispanic"" recoded as ""Other, non-Hispanic"" on the public use file.",Demographic/SES controls
227,X3T1CREDESCI,0.009298943927481658,"Indicates at least one Carnegie unit in Geology/Earth Science, which is the course SCED code(s): 03001, 03007, 03008, 03158, 03159, 03201, 03202, 03203, 03204, 03205, 03210, 03211, 03212, 03213, 03994, 03995, 03239, 03996, 03002, 03003, 03004, 03005, 03006, 03009, 03047, 03048, 03049, 03209, 03997, 03998, 03999, 03207, 03208, 03206. A Carnegie unit is equivalent to a one-year academic course taken one period a day, five days a week.",Academic performance/preparation
228,X2SES5_U,0.009212513660557024,"This variable contains the imputed values (5 of 5) for X2SES_U, generated through a multiple imputation model, for responding students without a responding parent/guardian. X2SES_U is the mean of X2SES1_U-X2SES5_U. Mean Std Deviation Category Min Max Unweighted Unweighted ------------------- ------------------- ------------------- ------------------- ------------------- Continuous -8.0000 2.9504 -0.8122 2.6314",Demographic/SES controls
229,X2SCIEFF,0.009191253147833596,"This variable is a scale of the sample member's science self-efficacy; higher X2SCIEFF values represent higher science self-efficacy. Variable was created through principal components factor analysis (weighted by W2STUDENT) and standardized to a mean of 0 and standard deviation of 1. The inputs to this scale were S2STESTS, S2STEXTBOOK, S2SSKILLS, and S2SASSEXCL. Only respondents who provided a full set of responses were assigned a scale value. The coefficient of reliability (alpha) for the scale is .65 or higher. For more information on this scale score, please see chapter 5 of the F1 Data File Documentation (NCES 2014-361). Mean Std Deviation Category Min Max Unweighted Unweighted ------------------- ------------------- ------------------- ------------------- ------------------- Continuous -9.00 1.64 -1.36 3.24",Skills and self-efficacy
230,S2STCHINTRST,0.009185088971328076,"How much do you agree or disagree with the following statements about your teacher for [science course title]? Remember, none of your teachers or your principal will see any of the answers you provide. Your teacher... [makes/made] science interesting. 1=Strongly agree 2=Agree 3=Disagree 4=Strongly disagree",Academic performance/preparation
231,X2TXMTH4,0.009184903574245807,"Mathematics theta score multiple imputation value (4 of 5). When the math test data were missing for student survey respondents, the math theta score was imputed with multiple imputation technique, with 5 imputed values. X2TXMTH is the mean of X2TXMTH1-5. The theta score provides a norm-referenced measurement of achievement, that is, an estimate of achievement relative to the population (fall 2009 9th graders) as a whole. It provides information on status compared to peers (as distinguished from the IRT-estimated scale score which represents status with respect to achievement on a particular criterion set of test items). The associated theta score is X2TXMTH. The standardized form of the theta score is X2TXMTSCOR. Mean Std Deviation Category Min Max Unweighted Unweighted ------------------- ------------------- ------------------- ------------------- ------------------- Continuous -8.0000 4.7052 -0.3624 3.0745",Academic performance/preparation
232,S1NOTALKPRB,0.00913482499303875,"Since the beginning of the last school year (2008-2009), which of the following people have you talked with about personal problems? (Check all that apply.) Your mother or female guardian Your father or male guardian Your friends A favorite teacher A school counselor None of these people",Academic performance/preparation
233,S1MREASCLG,0.009106698554069812,"What are the reasons you plan to take more math courses during high school? (Check all that apply.) Taking more math courses is required to graduate Your parents will want you to Your teachers will want you to Your school counselor will want you to You are good at math You will need a lot of math courses for the type of career you want Most students who are like you take a lot of math courses You enjoy studying math Taking more math courses will be useful for getting into college Taking more math courses will be useful in college Your friends are going to take more math courses Some other reason You don't know why, you just probably will",Career interests and aspirations
234,X2SES3,0.009073287466201889,"This variable contains the imputed value (3 of 5) for X2SES, generated through a multiple imputation model, for responding students without a responding parent/guardian. X2SES is the mean of X2SES1-X2SES5. Mean Std Deviation Category Min Max Unweighted Unweighted ------------------- ------------------- ------------------- ------------------- ------------------- Continuous -8.0000 2.3663 -0.8089 2.6307",Demographic/SES controls
235,S2MONTIME,0.008960645845362554,How often [do/did] you do these things in [math course title]? You [turn/turned] in your assignments and projects on time. 1=Never 2=Less than half of the time 3=Half of the time 4=More than half of the time 5=Always,Behavioral/psychological factors
236,S1MENJOYS,0.008787243135813161,"Why are you taking [fall 2009 math course] ? [If late December or later add: (If you are no longer taking this course, think back to the fall when you answer this question and the questions that follow.)] (Check all that appply.) You really enjoy math You like to be challenged You had no choice, it is a school requirement The school counselor suggested you take it Your parent(s) encouraged you to take it A teacher encouraged you to take it There were no other math courses offered You will need it to get into college You will need it to succeed in college You will need it for your career It was assigned to you Some other reason You don't know why you are taking this course",Career interests and aspirations
237,P1BEHAVE,0.008648546536442965,"During the last school year (2008-2009), how many times were you or another family member contacted by the school about [your 9th-grader]'s� problem behavior in school? Never Once or twice Three or four times More than four times",Behavioral/psychological factors
238,S2TRIGM12,0.008578590666330647,What math course or courses [are you currently taking/were you taking during the spring term of 2012]? Trigonometry 0=No 1=Yes,Academic performance/preparation
239,P1LIBRARY,0.008481704568852713,"During the last 12 months, which of the following activities have you or another family member done with [your 9th-grader]? (Check all that apply.) Visited a zoo, planetarium, natural history museum, transportation museum, or a similar museum Worked or played on a computer together Built or fixed something such as a vehicle or appliance Attended a school science fair Helped [your 9th-grader] with a school science fair project Discussed a program or article about math, science, or technology Visited a library Gone to a play, concert, or other live show None of these",Academic performance/preparation
240,S1MCLGSUCC,0.008471453337746161,"Why are you taking [fall 2009 math course] ? [If late December or later add: (If you are no longer taking this course, think back to the fall when you answer this question and the questions that follow.)] (Check all that appply.) You really enjoy math You like to be challenged You had no choice, it is a school requirement The school counselor suggested you take it Your parent(s) encouraged you to take it A teacher encouraged you to take it There were no other math courses offered You will need it to get into college You will need it to succeed in college You will need it for your career It was assigned to you Some other reason You don't know why you are taking this course",Career interests and aspirations
241,P1CAMPOTH,0.008387583717874842,"During the last 12 months, has [your 9th-grader] participated in any of the following activities outside of school? (Check all that apply.) Music, dance, art, or theater Organized sports supervised by an adult Religious youth group or religious instruction Scouting or another group or club activity Academic instruction outside of school such as from a Saturday Academy, learning center, personal tutor or summer school program A math or science camp Another camp None of these",Academic performance/preparation
242,S1MREASPAR,0.008353117957446367,"What are the reasons you plan to take more math courses during high school? (Check all that apply.) Taking more math courses is required to graduate Your parents will want you to Your teachers will want you to Your school counselor will want you to You are good at math You will need a lot of math courses for the type of career you want Most students who are like you take a lot of math courses You enjoy studying math Taking more math courses will be useful for getting into college Taking more math courses will be useful in college Your friends are going to take more math courses Some other reason You don't know why, you just probably will",Career interests and aspirations
243,S1SUSECLG,0.008229352783334769,How much do you agree or disagree with the following statements about the usefulness of your [fall 2009 science] course? What students learn in this course... will be useful for college. Strongly agree Agree Disagree Strongly disagree,Career interests and aspirations
244,S1NOTALKOTH,0.008208649443910278,"Since the beginning of the last school year (2008-2009), which of the following people have you talked with about which courses to take this year other than math and science courses? (Check all that apply.) Your mother or female guardian Your father or male guardian Your friends A favorite teacher A school counselor None of these people",Academic performance/preparation
245,S1SYRS,0.00817010856117719,"Including this year, how many years of science do you expect to take during high school? One year Two years Three years Four or more years",Academic performance/preparation
246,X1STUEDEXPCT,0.008168576840168303,"Indicates the highest level of education the sample member expects to achieve. X1STUEDEXPCT is drawn from the student questionnaire, and if missing from the student questionnaire, is statistically imputed (imputed values in X1STUEDEXPCT can be identified using X1STUEDEX_IM).",Academic performance/preparation
247,S1SREASGOOD,0.008036547240517914,"What are the reasons you plan to take more science courses during high school? (Check all that apply.) Taking more science courses is required to graduate Your parents will want you to Your teachers will want you to Your school counselor will want you to You are good at science You will need a lot of science courses for the type of career you want Most students who are like you take a lot of science courses You enjoy studying science Taking more science courses will be useful for getting into college Taking more science courses will be useful in college Your friends are going to take more science courses Some other reason You don't know why, you just probably will",Career interests and aspirations
248,S2MTCHINTRST,0.007904401841635995,"How much do you agree or disagree with the following statements about your teacher for [math course title]? Remember, none of your teachers or your principal will see any of the answers you provide. Your teacher... [makes/made] math interesting. 1=Strongly agree 2=Agree 3=Disagree 4=Strongly disagree",Academic performance/preparation
249,X1TXMTH4,0.007832521534093662,"Mathematics theta score multiple imputation value (4 of 5). When the math test data were missing for student survey respondents, the math theta score was imputed with multiple imputation technique, with 5 imputed values. X1TXMTH is the mean of X1TXMTH1-5. The theta score provides a norm-referenced measurement of achievement, that is, an estimate of achievement relative to the population (fall 2009 9th graders) as a whole. It provides information on status compared to peers (as distinguished from the IRT-estimated scale score which represents status with respect to achievement on a particular criterion set of test items). The associated theta score is X1TXMTH. The standardized form of the theta score is X1TXMTSCOR. Mean Std Deviation Category Min Max Unweighted Unweighted ------------------- ------------------- ------------------- ------------------- ------------------- Continuous -8.0000 3.0283 -0.6685 2.4571",Academic performance/preparation
250,X2SES2,0.007785794333442145,"This variable contains the imputed value (2 of 5) for X2SES, generated through a multiple imputation model, for responding students without a responding parent/guardian. X2SES is the mean of X2SES1-X2SES5. Mean Std Deviation Category Min Max Unweighted Unweighted ------------------- ------------------- ------------------- ------------------- ------------------- Continuous -8.0000 2.4508 -0.8098 2.6306",Demographic/SES controls
251,S2MFRIEND,0.007777809182616269,Why [are/were] you taking [math course title] ? Would you say you [are/were] taking it because... your friends were taking it? 1=Yes 0=No,Academic performance/preparation
252,S2SDOWELL,0.007718093226412201,Why [are/were] you taking [science course title] ? Would you say you [are/were] taking it because... you do well in science? 1=Yes 0=No,Academic performance/preparation
253,X2X1TXMSCR,0.00755188771764028,The math IRT-estimated number correct is a criterion-referenced measure of achievement at the time of the Base Year assessment. The criterion is the set of skills defined by both the HSLS:09 Base Year and First Follow-up framework and represented by the 118 items used to score the HSLS:09 First Follow-up mathematics assessment. The estimated number correct for math is an estimate of the number of items students would have answered correctly had they responded to all 118 items in the item pool. The ability estimates (Thetas) from the Base Year and item parameters derived from the IRT calibration were used to calculate each student's probability of a correct answer for each of the items in the pool. These probabilities are summed to produce the IRT-estimated number-correct scale score. See Chapter 2 of the HSLS:09 First Follow-up Data File Documentation (NCES 2014-361) for more information on the derivation of the math estimated number correct. Mean Std Deviation Category Min Max Unweighted Unweighted ------------------- ------------------- ------------------- ------------------- ------------------- Continuous -9.0000 103.7880 43.2874 30.0057,Academic performance/preparation
254,S1MREASENJOY,0.007539516576223221,"What are the reasons you plan to take more math courses during high school? (Check all that apply.) Taking more math courses is required to graduate Your parents will want you to Your teachers will want you to Your school counselor will want you to You are good at math You will need a lot of math courses for the type of career you want Most students who are like you take a lot of math courses You enjoy studying math Taking more math courses will be useful for getting into college Taking more math courses will be useful in college Your friends are going to take more math courses Some other reason You don't know why, you just probably will",Career interests and aspirations
255,X1DADREL,0.007435500763407808,"Indicates whether or not there is a biological, adoptive, or step father in the sample member's household. X1DADREL is derived from two composite variables (X1P1RELATION and X1P2RELATION) which contain imputed values; if either of these two input variables is imputed and the presence of a father in the household could not be determined from unimputed data, then the imputation flag for X1DADREL (X1DADREL_IM) is set to 1.",Academic performance/preparation
256,S2SASSEXCL,0.007331085039898652,How much do you agree or disagree with the following statements about [science course title/science]? [You [are/were] confident that you [can/could] do an excellent job on assignments in this course. /You are confident that you can do an excellent job on science assignments.] 1=Strongly agree 2=Agree 3=Disagree 4=Strongly disagree,Academic performance/preparation
257,S1NOTALKM,0.007156686836877663,"Since the beginning of the last school year (2008-2009), which of the following people have you talked with about which math courses to take this year? (Check all that apply.) Your mother or female guardian Your father or male guardian Your friends A favorite teacher A school counselor None of these people",Academic performance/preparation
258,S2MDOWELL,0.007151142553667462,Why [are/were] you taking [math course title] ? Would you say you [are/were] taking it because... you do well in math? 1=Yes 0=No,Academic performance/preparation
259,S1FYMILITARY,0.007059344919516588,What do you plan to do during your first year after high school? (Check all that apply.) Enroll in an Associate's degree program in a two-year community college or technical institute Enroll in a Bachelor's degree program in a college or university Obtain a license or certificate in a career field Attend a registered apprenticeship program Join the armed services Get a job Start a family Travel Do volunteer or missionary work Not sure what you want to do,Career interests and aspirations
260,S1MASSEXCL,0.006965374656349304,How much do you agree or disagree with the following statements about your [fall 2009 math] course? You are confident that you can do an excellent job on assignments in this course Strongly agree Agree Disagree Strongly disagree,Academic performance/preparation
261,X2TXMTH5,0.0068825362017947865,"Mathematics theta score multiple imputation value (5 of 5). When the math test data were missing for student survey respondents, the math theta score was imputed with multiple imputation technique, with 5 imputed values. X2TXMTH is the mean of X2TXMTH1-5. The theta score provides a norm-referenced measurement of achievement, that is, an estimate of achievement relative to the population (fall 2009 9th graders) as a whole. It provides information on status compared to peers (as distinguished from the IRT-estimated scale score which represents status with respect to achievement on a particular criterion set of test items). The associated theta score is X2TXMTH. The standardized form of the theta score is X2TXMTSCOR. Mean Std Deviation Category Min Max Unweighted Unweighted ------------------- ------------------- ------------------- ------------------- ------------------- Continuous -8.0000 4.5046 -0.3611 3.0739",Academic performance/preparation
262,S1NOMSACT,0.006872683377826704,"Since the beginning of the last school year (2008-2009), which of the following activities have you participated in? (Check all that apply.) Math club Math competition Math camp Math study groups or a program where you were tutored in math Science club Science competition Science camp Science study groups or a program where you were tutored in science None of these",Academic performance/preparation
263,S2CHEM2S12,0.006795712893166573,"What science, computer science, or engineering course or courses are you currently taking?/What science, computer science or engineering course or courses were you taking during the spring term of 2012? Chemistry II 0=No 1=Yes",Academic performance/preparation
264,S2SSPR12,0.006651481127567673,"[Are you currently taking any science, computer science or technology courses/Were you taking any science, computer science or technology courses during the spring term of 2012? 1=Yes 0=No",Academic performance/preparation
265,S2PRECALC12,0.006542242898190836,What math course or courses [are you currently taking/were you taking during the spring term of 2012]? Pre-calculus or Analysis and Functions 0=No 1=Yes,Academic performance/preparation
266,X1PAREDEXPCT,0.006453564846516652,"X1PAREDEXPCT indicates the highest level of education the parent questionnaire respondent expects the sample member to achieve. X1PAREDEXPCT is taken from the base year parent questionnaire; if missing from the base year parent questionnaire, X1PAREDEXPCT is statistically imputed (imputed values in X1PAREDEXPCT can be identified using X1PAREDEX_IM).",Academic performance/preparation
267,S1GEOM09,0.006340567478628378,"What math course(s) are you currently taking this fall? [What math course(s) were you taking in the fall (2009)?] (Check all that apply.) Algebra I including IA and IB Geometry Algebra II Trigonometry Review or Remedial Math including Basic, Business, Consumer, Functional or General math Integrated Math I Statistics or Probability Integrated Math II or above Pre-algebra Analytic Geometry Other advanced math course such as pre-calculus or calculus Other math course",Academic performance/preparation
268,S2ANATOMYS12,0.006239539038586603,"What science, computer science, or engineering course or courses are you currently taking?/What science, computer science or engineering course or courses were you taking during the spring term of 2012? Anatomy or Physiology 0=No 1=Yes",Academic performance/preparation
269,S1SCHALLENGE,0.006161724443023625,"Why are you taking [fall 2009 science course]? [If late December or later add: (If you are no longer taking this course, think back to the fall when you answer this question and the questions that follow.)] (Check all that apply.) You really enjoy science You like to be challenged You had no choice, it is a school requirement The school counselor suggested you take it Your parent(s) encouraged you to take it A teacher encouraged you to take it There were no other science courses offered You will need it to get into college You will need it to succeed in college You will need it for your career It was assigned to you Some other reason You don't know why you are taking this course",Career interests and aspirations
